metric,alpha,accuracy
step_probability,0.0,66.8
step_probability,0.1,67.2
step_probability,0.2,67.2
step_probability,0.3,67.2
step_probability,0.4,67.2
step_probability,0.5,67.2
step_probability,0.6,67.2
step_probability,0.7,67.2
step_probability,0.8,67.2
step_probability,0.9,67.2
step_probability,1.0,67.0
self_certainty,0.0,66.6
self_certainty,0.1,68.2
self_certainty,0.2,68.2
self_certainty,0.3,68.0
self_certainty,0.4,68.4
self_certainty,0.5,68.4
self_certainty,0.6,69.2
self_certainty,0.7,68.8
self_certainty,0.8,68.4
self_certainty,0.9,68.8
self_certainty,1.0,68.8
entropy,0.0,67.8
entropy,0.1,68.8
entropy,0.2,68.6
entropy,0.3,68.0
entropy,0.4,68.2
entropy,0.5,67.6
entropy,0.6,67.8
entropy,0.7,67.8
entropy,0.8,67.6
entropy,0.9,67.4
entropy,1.0,67.4
self_eval,0.0,65.8
self_eval,0.1,64.4
self_eval,0.2,65.0
self_eval,0.3,63.8
self_eval,0.4,63.6
self_eval,0.5,63.4
self_eval,0.6,63.2
self_eval,0.7,63.4
self_eval,0.8,63.2
self_eval,0.9,63.2
self_eval,1.0,63.0
coe_c,0.0,68.0
coe_c,0.1,67.2
coe_c,0.2,66.6
coe_c,0.3,66.4
coe_c,0.4,66.2
coe_c,0.5,65.4
coe_c,0.6,65.4
coe_c,0.7,65.6
coe_c,0.8,65.0
coe_c,0.9,64.8
coe_c,1.0,65.0
