metric,lambda,total_samples,correct_samples,accuracy
self_certainty,0.0,500,330,66.0
self_certainty,0.1,500,329,65.8
self_certainty,0.2,500,330,66.0
self_certainty,0.3,500,330,66.0
self_certainty,0.4,500,330,66.0
self_certainty,0.5,500,330,66.0
self_certainty,0.6,500,330,66.0
self_certainty,0.7,500,330,66.0
self_certainty,0.8,500,330,66.0
self_certainty,0.9,500,330,66.0
self_certainty,1.0,500,327,65.4
entropy,0.0,500,342,68.4
entropy,0.1,500,331,66.2
entropy,0.2,500,330,66.0
entropy,0.3,500,330,66.0
entropy,0.4,500,330,66.0
entropy,0.5,500,330,66.0
entropy,0.6,500,330,66.0
entropy,0.7,500,330,66.0
entropy,0.8,500,330,66.0
entropy,0.9,500,330,66.0
entropy,1.0,500,327,65.4
self_eval,0.0,500,322,64.4
self_eval,0.1,500,329,65.8
self_eval,0.2,500,329,65.8
self_eval,0.3,500,329,65.8
self_eval,0.4,500,329,65.8
self_eval,0.5,500,329,65.8
self_eval,0.6,500,329,65.8
self_eval,0.7,500,329,65.8
self_eval,0.8,500,329,65.8
self_eval,0.9,500,329,65.8
self_eval,1.0,500,327,65.4
coe_c,0.0,500,327,65.4
coe_c,0.1,500,328,65.6
coe_c,0.2,500,332,66.4
coe_c,0.3,500,330,66.0
coe_c,0.4,500,330,66.0
coe_c,0.5,500,330,66.0
coe_c,0.6,500,330,66.0
coe_c,0.7,500,330,66.0
coe_c,0.8,500,330,66.0
coe_c,0.9,500,330,66.0
coe_c,1.0,500,327,65.4
